OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
1482,52585,52585008,NARIÑO,PUPIALES,VEREDA EGIDO SAN ANTONIO,2012,ALCALDIA MUNICIPAL,NULL,NULL,717.82725992,52,7200296.15240479,21258.6145329023
1483,52585,52585025,NARIÑO,PUPIALES,VEREDA SAN MARCOS,2012,ALCALDIA MUNICIPAL,NULL,NULL,686.91792954,52,6890751.13269043,11144.4308930932
1484,52585,52585013,NARIÑO,PUPIALES,VEREDA FUELAMUESQUER,2012,ALCALDIA MUNICIPAL,NULL,NULL,434.46272714,52,4358084.7121582,9273.80932363838
1485,52585,52585006,NARIÑO,PUPIALES,VEREDA CHIRES SUR,2012,ALCALDIA MUNICIPAL,NULL,NULL,512.70067988,52,5142686.19769287,12508.7268609254
1486,52585,52585010,NARIÑO,PUPIALES,VEREDA EL ESPINO,2012,ALCALDIA MUNICIPAL,NULL,NULL,340.67324895,52,3417006.47399902,8824.61102733429
1487,52788,52788034,NARIÑO,TANGUA,VERGEL,1999,CATASTRO IGAC,NULL,NULL,292.44842488,52,2935357.6975708,12813.577592021
1488,52788,52788007,NARIÑO,TANGUA,EL TABLON,1999,CATASTRO IGAC,NULL,NULL,435.72409802,52,4373127.10089111,14168.9289026439
1489,52788,52788025,NARIÑO,TANGUA,SAN PEDRO,1999,CATASTRO IGAC,NULL,NULL,337.879766,52,3391200.20050049,10430.4653057555
1490,52788,52788027,NARIÑO,TANGUA,SAN VICENTE,1999,CATASTRO IGAC,NULL,NULL,299.99385388,52,3010989.2409668,7438.60704218557
1491,52788,52788022,NARIÑO,TANGUA,PROVIDENCIA,1999,CATASTRO IGAC,NULL,NULL,361.1859367,52,3625283.91149902,8228.13034901151
1492,52788,52788020,NARIÑO,TANGUA,PARAMILLO,1999,CATASTRO IGAC,NULL,NULL,316.92059999,52,3181079.13793945,7515.89819014364
1493,52720,52720008,NARIÑO,SAPUYES,SAN IGNACIO,2009,EOT,NULL,NULL,239.58755108,52,2403337.73852539,7379.66533077759
1494,52720,52720005,NARIÑO,SAPUYES,MALAVER,2009,EOT,NULL,NULL,703.43847462,52,7056389.1696167,16638.5501623249
1495,52720,52720009,NARIÑO,SAPUYES,SAN JORGE,2009,EOT,NULL,NULL,400.91219453,52,4021843.22937012,11529.3946625772
1496,52720,52720010,NARIÑO,SAPUYES,SAPUYES,2009,EOT,NULL,NULL,345.85096025,52,3469578.95220947,16347.7441313776
1497,52720,52720006,NARIÑO,SAPUYES,MARAMBA,2009,EOT,NULL,NULL,369.42941084,52,3706097.66668701,11072.625201815
1498,52480,52480003,NARIÑO,NARIÑO,EL SILENCIO,2010,w.nariño-nariño.gov,NULL,NULL,348.52844466,52,3498891.27185059,11123.3653544763
1499,52405,52405006,NARIÑO,LEIVA,NARIÑO,2010,EOT LEIVA,NULL,NULL,3597.20227902,52,36143811.5872803,45996.207091553
1500,52405,52405001,NARIÑO,LEIVA,DELICIAS,2010,EOT LEIVA,NULL,NULL,2836.01440911,52,28495827.4432373,24992.646718548
1501,52405,52405003,NARIÑO,LEIVA,LA FLORIDA,2010,EOT LEIVA,NULL,NULL,6981.03457732,52,70121045.3154297,36338.7671354107
1502,73226,73226052,TOLIMA,CUNDAY,SANTA RITA,2006,CATASTRO IGAC,NULL,NULL,1044.05266003,73,10562059.0297852,19780.4024850326
1503,73226,73226015,TOLIMA,CUNDAY,EL CASCAJOSO,2006,CATASTRO IGAC,NULL,NULL,863.1435674,73,8731136.46801758,14234.4424927904
1504,73226,73226043,TOLIMA,CUNDAY,POTRERO DIAZ,2006,CATASTRO IGAC,NULL,NULL,858.6940546,73,8685627.72802734,16861.8843113522
1505,52694,52694018,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),YANANGOMA,INDF,DESCONOCIDA,NULL,NULL,365.71397812,52,3674303.84130859,9747.17329065702
1506,52694,52694004,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),CHIMAYOY ALTA,INDF,DESCONOCIDA,NULL,NULL,235.55989871,52,2366607.20568848,8955.54487251501
1507,52694,52694005,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),CHIMAYOY BAJA,INDF,DESCONOCIDA,NULL,NULL,219.41916333,52,2204438.53515625,7414.78683844579
1508,52694,52694009,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),LA CHORRERA,INDF,DESCONOCIDA,NULL,NULL,465.60819837,52,4677782.62939453,9569.93171370633
1509,52694,52694002,NARIÑO,SAN PEDRO DE CARTAGO (CARTAGO),BUENOS AIRES,INDF,DESCONOCIDA,NULL,NULL,198.61214058,52,1995277.2142334,8715.77738704082
1510,52506,52506012,NARIÑO,OSPINA,SAN MIGUEL,2004,EOT MPIO DE OSPINA,NULL,NULL,787.37530319,52,7900466.31750488,12813.6237288727
1511,52506,52506013,NARIÑO,OSPINA,SAN VICENTE,2004,EOT MPIO DE OSPINA,NULL,NULL,487.94594899,52,4896088.51812744,11348.2485785946
1512,52506,52506009,NARIÑO,OSPINA,SAN ANTONIO,2004,EOT MPIO DE OSPINA,NULL,NULL,409.84583754,52,4112230.35321045,9566.53717854467
1513,52838,52838071,NARIÑO,TÚQUERRES,TUTACHAG ALTO,2009,EOT,NULL,NULL,134.42972163,52,1348532.33575439,7543.09690760897
1514,52838,52838041,NARIÑO,TÚQUERRES,MANZANO ALTO,2009,EOT,NULL,NULL,151.48675442,52,1519635.73162842,7738.18920905907
1515,52838,52838018,NARIÑO,TÚQUERRES,EL SOCORRO,2009,EOT,NULL,NULL,137.35434793,52,1378036.77276611,5870.71183250679
1516,52838,52838005,NARIÑO,TÚQUERRES,CHALITALA,2009,EOT,NULL,NULL,232.71944668,52,2334902.57427979,6974.33334939013
1517,52838,52838066,NARIÑO,TÚQUERRES,SAN SEBASTIAN,2009,EOT,NULL,NULL,110.33187926,52,1107006.46844482,5958.98486536709
1518,52786,52786026,NARIÑO,TAMINANGO,LLANO VERDE,2010,POT,NULL,NULL,381.7948083,52,3834262.00146484,10431.0223081086
1519,52786,52786038,NARIÑO,TAMINANGO,TAMINANGO,2010,POT,NULL,NULL,34.5183631,52,346677.67590332,2590.56663426602
1520,52835,52835001,NARIÑO,TUMACO,CORREGIMIENTO ALTO MIRA Y FRONTERA,2003,POT,VEREDA CON CENTRO POBLADO,NULL,61832.3556621,52,618877004.026611,156387.814128466
1521,73226,73226004,TOLIMA,CUNDAY,ALTO TORRES,2006,CATASTRO IGAC,NULL,NULL,596.98178405,73,6035711.60522461,11532.397334863
1522,73226,73226005,TOLIMA,CUNDAY,BAJAS,2006,CATASTRO IGAC,NULL,NULL,283.22380963,73,2863602.87280273,9023.04044330487
1523,52838,52838037,NARIÑO,TÚQUERRES,LAS DELICIAS,2009,EOT,NULL,NULL,143.12158878,52,1435844.18304443,7102.53511412537
1524,52786,52786004,NARIÑO,TAMINANGO,CORNETA,2010,POT,NULL,NULL,1264.66657426,52,12701954.032959,16341.7527765418
1525,52838,52838011,NARIÑO,TÚQUERRES,EL CERRITO QUITASOL,2009,EOT,NULL,NULL,324.76556668,52,3258353.8659668,10122.6932496446
1526,52838,52838068,NARIÑO,TÚQUERRES,SANTA ISABEL,2009,EOT,NULL,NULL,165.34315906,52,1658880.26245117,8279.95828773195
1527,52786,52786011,NARIÑO,TAMINANGO,EL MANZANO,2010,POT,VEREDA CON CENTRO POBLADO,NULL,174.9502852,52,1756844.25769043,5497.64959539393
